,ratio1,ratio2,ratio3,ratio4,ratio5,status
1924,0.45,0.18,-0.06,-0.18,-1.14,0
1925,1.33,1.33,0.05,0.05,0.03,0
1926,1.06,1.06,0.0,-0.79,0.0,1
1927,0.94,0.6,0.03,0.03,0.07,0
1928,0.81,0.24,0.03,0.06,0.07,0
1929,0.99,0.88,0.02,0.0,0.04,0
1930,0.41,0.26,0.0,-0.06,0.79,0
1931,7.68,4.64,0.11,0.12,0.13,0
1932,1.74,0.88,0.12,0.27,0.11,0
1933,1.25,0.36,0.03,0.05,0.04,0
1934,1.39,0.65,0.02,0.02,0.01,1
1935,2.49,2.49,0.06,0.07,0.07,0
1936,0.59,0.59,0.01,0.57,0.04,0
1937,0.83,0.55,-0.14,-1.61,-0.05,1
1938,1.17,0.44,0.01,0.05,0.1,1
1939,1.05,0.91,0.01,0.11,0.01,0
1940,1.11,0.62,0.01,0.03,0.03,0
1941,1.7,1.7,0.04,0.1,0.01,0
1942,0.63,0.63,0.01,0.06,0.12,0
1943,2.27,1.96,0.02,0.01,0.14,0
1944,1.41,0.88,0.08,0.42,0.07,0
1945,1.36,1.17,0.32,0.85,0.07,0
1946,4.3,0.3,0.0,0.0,0.24,0
1947,1.02,0.24,0.03,0.47,0.02,1
1948,1.23,0.83,-0.28,-2.9,-0.14,0
1949,1.12,0.63,0.04,0.09,0.08,0
1950,4.04,3.75,0.02,0.04,0.01,0
1951,0.92,0.92,-0.26,-2.51,-0.3,0
1952,1.64,1.64,0.24,0.47,0.13,0
1953,1.2,1.1,0.06,0.23,0.07,0
1954,1.8,1.8,0.14,0.24,0.15,0
1955,1.05,0.88,0.04,0.0,0.03,0
1956,1.4,1.4,0.04,0.1,0.03,0
1957,1.04,1.04,0.03,0.13,0.04,0
1958,1.95,1.95,0.05,0.39,0.07,0
1959,2.17,1.75,0.1,0.13,0.09,0
1960,1.2,0.25,0.05,0.29,0.02,0
1961,0.8,0.76,0.12,0.38,0.12,0
1962,3.48,3.48,-0.02,-0.12,0.01,0
1963,1.43,1.41,0.07,0.2,0.02,0
1964,1.78,1.4,0.11,0.12,0.14,0
1965,1.55,1.43,0.02,0.0,0.03,0
1966,1.29,1.28,0.11,0.22,0.07,0
1967,2.21,1.3,0.07,0.08,0.18,0
1968,0.87,0.82,0.2,0.55,0.06,0
1969,1.14,0.96,0.07,0.07,0.04,0
1970,2.15,0.39,-0.19,-5.3,-0.46,1
1971,1.17,0.83,0.13,0.3,0.09,0
1972,6.74,6.13,0.03,0.01,0.05,0
1973,2.39,1.99,0.02,0.03,0.1,0
1974,1.11,0.88,0.01,-0.27,0.04,0
1975,1.12,1.1,0.12,0.28,0.13,0
1976,1.1,0.7,0.02,0.02,0.06,0
1977,0.83,0.83,0.06,0.14,0.49,0
1978,0.46,0.46,0.0,0.0,0.03,0
1979,1.41,1.36,0.15,0.25,0.23,0
1980,0.23,0.15,0.01,0.02,0.1,0
1981,2.46,2.46,0.06,0.26,0.03,0
1982,1.14,1.14,0.05,0.07,0.03,0
1983,2.58,0.93,0.01,0.01,0.03,0
1984,0.73,0.42,-0.61,-1.38,-0.24,1
1985,1.0,0.61,0.04,0.04,0.08,0
1986,1.56,0.44,-0.21,-0.86,-0.06,1
1987,1.1,0.36,0.02,0.11,0.08,0
